,names_to_use,GS,genus,phylum,class,order,family,Life_style,trophicMode
798,Chiua virens,45.16,Chiua,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,NA,NA
799,Chlamydoabsidia padenii,34.33,Chlamydoabsidia,Mucoromycota,Mucoromycetes,Mucorales,Cunninghamellaceae,NA,NA
800,Chlorencoelia torta,44.38,Chlorencoelia,Ascomycota,Leotiomycetes,Helotiales,Hemiphacidiaceae,NA,NA
801,Chlorociboria aeruginascens,37.81,Chlorociboria,Ascomycota,Leotiomycetes,Helotiales,Chlorociboriaceae,NA,NA
802,Chloroscypha alutipes,48.07,Chloroscypha,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA
803,Chloroscypha sabinae,46.36,Chloroscypha,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA
804,Choanephora cucurbitarum,32.1,Choanephora,Mucoromycota,Mucoromycetes,Mucorales,Choanephoraceae,Facultative association,Pathotroph
805,Choanephora cucurbitarum,32.1,Choanephora,Mucoromycota,Mucoromycetes,Mucorales,Choanephoraceae,Facultative association,Pathotroph
806,Choiromyces venosus,126.04,Choiromyces,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,NA,NA
807,Chondrostereum purpureum,41.26,Chondrostereum,Basidiomycota,Agaricomycetes,Agaricales,Cyphellaceae,Facultative association,Patotroph
808,Chroogomphus rutilus,343.71,Chroogomphus,Basidiomycota,Agaricomycetes,Boletales,Gomphidiaceae,Obligate association,Symbiotroph
809,Chrysoporthe austroafricana,48.22,Chrysoporthe,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Facultative association,Patotroph
810,Chrysoporthe austroafricana,48.22,Chrysoporthe,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Facultative association,Patotroph
811,Chrysoporthe cubensis,44.49,Chrysoporthe,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Facultative association,Patotroph
812,Chrysoporthe cubensis,44.49,Chrysoporthe,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Facultative association,Patotroph
813,Chrysoporthe deuterocubensis,47.12,Chrysoporthe,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,NA,NA
814,Chrysosporium lucknowense,38.5,Chrysosporium,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,NA,NA
815,Chrysosporium queenslandicum,32.34,Chrysosporium,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,B_Opportunistic association,Pathotroph
816,Chrysosporium queenslandicum,32.34,Chrysosporium,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,B_Opportunistic association,Pathotroph
817,Chrysosporium tropicum,23.06,Chrysosporium,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,B_Opportunistic association,Pathotroph
818,Chrysosporium tropicum,23.06,Chrysosporium,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,B_Opportunistic association,Pathotroph
819,Chytriomyces confervae,35.97,Chytriomyces,Chytridiomycota,Chytridiomycetes,Chytridiales,Chytriomycetaceae,NA,NA
820,Chytriomyces hyalinus,38.1,Chytriomyces,Chytridiomycota,Chytridiomycetes,Chytridiales,Chytriomycetaceae,NA,NA
821,Ciboria acerina,47.31,Ciboria,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
822,Ciboria aschersoniana,35.81,Ciboria,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
823,Ciboria batschiana,53.01,Ciboria,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
824,Ciboria betulae,70.87,Ciboria,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
825,Ciboria bulgarioides,36.67,Ciboria,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
826,Ciboria caucus,53.77,Ciboria,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
827,Ciboria coryli,74.1,Ciboria,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
828,Ciboria rufofusca,54.53,Ciboria,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
829,Ciboria shiraiana,39.3,Ciboria,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
830,Ciboria tenuistipes,35.91,Ciboria,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
831,Ciboria viridifusca,56.24,Ciboria,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
832,Ciborinia allii,42.98,Ciborinia,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
833,Ciborinia camelliae,40.73,Ciborinia,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,NA,NA
834,Ciliolarina laricina,56.24,Ciliolarina,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
835,Circinella umbellata,51.27,Circinella,Mucoromycota,Mucoromycetes,Mucorales,Syncephalastraceae,NA,NA
836,Cistella aconiti,32.68,Cistella,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
837,Cistella acuum,37.43,Cistella,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
838,Cistella albidolutea,52.06,Cistella,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
839,Cistella fugiens,45.22,Cistella,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
840,Cistella grevillei,53.77,Cistella,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,NA,NA
841,Citeromyces hawaiiensis,19.64,Citeromyces,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,NA,NA
842,Citeromyces matritensis,20.32,Citeromyces,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,NA,NA
843,Cladobotryum protrusum,39.09,Cladobotryum,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Plant,Patotroph
844,Cladochytrium replicatum,50.67,Cladochytrium,Chytridiomycota,Chytridiomycetes,Chytridiales,Cladochytriaceae,NA,NA
845,Cladonia grayi,34.62,Cladonia,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,NA,NA
846,Cladonia macilenta,37.12,Cladonia,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,NA,NA
847,Cladonia metacorallifera,36.68,Cladonia,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,NA,NA
848,Cladonia rangiferina,35.67,Cladonia,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,NA,NA
849,Cladonia uncialis,32.85,Cladonia,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,NA,NA
850,Cladophialophora bantiana,36.81,Cladophialophora,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,B_Opportunistic association,Pathotroph
851,Cladophialophora bantiana,36.81,Cladophialophora,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,B_Opportunistic association,Pathotroph
852,Cladophialophora carrionii,29.19,Cladophialophora,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,B_Opportunistic association,Pathotroph
853,Cladophialophora immunda,42.67,Cladophialophora,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,NA,NA
854,Cladophialophora psammophila,39.42,Cladophialophora,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,NA,NA
855,Cladophialophora yegresii,27.9,Cladophialophora,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,NA,NA
856,Cladosporium cladosporioides,33.23,Cladosporium,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Facultative association,Pathotroph-Symbiotroph
857,Cladosporium cladosporioides,33.23,Cladosporium,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Facultative association,Pathotroph-Symbiotroph
858,Cladosporium phlei,32.82,Cladosporium,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Facultative association,Pathotroph
859,Cladosporium sphaerospermum,26.13,Cladosporium,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Facultative association,Symbiotroph
860,Cladosporium sphaerospermum,26.13,Cladosporium,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Facultative association,Symbiotroph
861,Claroideoglomus etunicatum,37.45,Claroideoglomus,Mucoromycota,Glomeromycetes,Glomerales,Claroideoglomeraceae,Obligate association,Symbiotroph
862,Classicula fluitans,52.68,Classicula,Basidiomycota,Classiculomycetes,Classiculales,Classiculaceae,NA,NA
863,Classicula fluitans,52.68,Classicula,Basidiomycota,Classiculomycetes,Classiculales,Classiculaceae,NA,NA
864,Clathrospora elynae,37.39,Clathrospora,Ascomycota,Dothideomycetes,Pleosporales,Diademaceae,NA,NA
865,Claussenomyces atrovirens,33.44,Claussenomyces,Ascomycota,Leotiomycetes,Helotiales,Tympanidaceae,NA,NA
866,Claussenomyces kirschsteinianus,31.73,Claussenomyces,Ascomycota,Leotiomycetes,Helotiales,Tympanidaceae,NA,NA
867,Claussenomyces luteoviridis,26.03,Claussenomyces,Ascomycota,Leotiomycetes,Helotiales,Tympanidaceae,NA,NA
868,Claussenomyces olivaceus,32.68,Claussenomyces,Ascomycota,Leotiomycetes,Helotiales,Tympanidaceae,NA,NA
869,Claussenomyces prasinulus,24.89,Claussenomyces,Ascomycota,Leotiomycetes,Helotiales,Tympanidaceae,NA,NA
870,Clavaria fumosa,70.47,Clavaria,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,NA,NA
871,Clavariopsis aquatica,34.18,Clavariopsis,Ascomycota,Dothideomycetes,Pleosporales,Not assigned,NA,NA
872,Claviceps arundinis,30.06,Claviceps,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA
873,Claviceps fusiformis,52.59,Claviceps,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA
874,Claviceps humidiphila,30.49,Claviceps,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA
875,Claviceps paspali,29.05,Claviceps,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA
876,Claviceps purpurea,29.15,Claviceps,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,NA,NA
877,Clavispora fructus,11.44,Clavispora,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
878,Clavispora lusitaniae,14.69,Clavispora,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,NA,NA
879,Climacocystis borealis,51.88,Climacocystis,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,NA,NA
880,Climacocystis borealis,51.88,Climacocystis,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,NA,NA
881,Clitocybe nebularis,59.33,Clitocybe,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,AFree living,Saprotroph
882,Clitopilus hobsonii,36.93,Clitopilus,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,NA,NA
883,Clohesyomyces aquaticus,49.68,Clohesyomyces,Ascomycota,Dothideomycetes,Pleosporales,Lindgomycetaceae,NA,NA
884,Clonostachys rosea,54.58,Clonostachys,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Facultative association,Symbiotroph
885,Coccidioides immitis,28.5,Coccidioides,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Animal,Pathotroph-Saprotroph
886,Coccidioides immitis,28.5,Coccidioides,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Animal,Pathotroph-Saprotroph
887,Coccidioides posadasii,27.56,Coccidioides,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,NA,NA
888,Coccinonectria pachysandricola,26.01,Coccinonectria,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA
889,Coccodinium bartschii,28.27,Coccodinium,Ascomycota,Eurotiomycetes,Chaetothyriales,Coccodiniaceae,NA,NA
890,Coccomyces coronatus,65.93,Coccomyces,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,NA,NA
891,Coccomyces strobi,32.67,Coccomyces,Ascomycota,Leotiomycetes,Rhytismatales,Rhytismataceae,NA,NA
892,Cochliobolus geniculatus,33.26,Cochliobolus,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Pathotroph-Symbiotroph
893,Cochliobolus geniculatus,33.26,Cochliobolus,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Facultative association,Pathotroph-Symbiotroph
894,Cochlonema odontosperma,16.84,Cochlonema,Zoopagomycota,Zoopagomycetes,Zoopagales,Cochlonemataceae,NA,NA
895,Coelomomyces stegomyiae,50,Coelomomyces,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,Coelomomycetaceae,NA,NA
896,Coemansia mojavensis,14.29,Coemansia,Zoopagomycota,Zoopagomycetes,Kickxellales,Kickxellaceae,NA,NA
897,Coemansia mojavensis,14.29,Coemansia,Zoopagomycota,Zoopagomycetes,Kickxellales,Kickxellaceae,NA,NA
898,Coemansia reversa,21.84,Coemansia,Zoopagomycota,Zoopagomycetes,Kickxellales,Kickxellaceae,NA,NA
899,Cokeromyces recurvatus,28.53,Cokeromyces,Mucoromycota,Mucoromycetes,Mucorales,Mycotyphaceae,NA,NA
900,Coleophoma crateriformis,40.65,Coleophoma,Ascomycota,Leotiomycetes,Not assigned,Not assigned,NA,NA
901,Coleophoma cylindrospora,42.48,Coleophoma,Ascomycota,Leotiomycetes,Not assigned,Not assigned,NA,NA
902,Coleosperma lacustre,76.57,Coleosperma,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,NA,NA
903,Coleroa chaetomium,26.03,Coleroa,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,NA,NA
904,Colletotrichum abscissum,53.94,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
905,Colletotrichum acutatum,51.12,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Pathotroph-Symbiotroph
906,Colletotrichum aenigma,59.19,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
907,Colletotrichum asianum,64.73,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
908,Colletotrichum caudatum,44.2,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
909,Colletotrichum cereale,52.15,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
910,Colletotrichum chlorophyti,52.39,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
911,Colletotrichum chlorophyti,52.39,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
912,Colletotrichum coccodes,56.575,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Pathotroph
913,Colletotrichum costaricense,51.63,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
914,Colletotrichum cuscutae,80.45,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Plant,Patotroph
915,Colletotrichum destructivum,52.15,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
916,Colletotrichum echinochloae,62.25,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
917,Colletotrichum eleusines,53.51,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Plant,Patotroph
918,Colletotrichum eremochloae,47.21,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
919,Colletotrichum falcatum,48.64,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Plant,Pathotroph
920,Colletotrichum falcatum,48.64,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Plant,Pathotroph
921,Colletotrichum fioriniae,49.43,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph-Symbiotroph
922,Colletotrichum fioriniae,49.43,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph-Symbiotroph
923,Colletotrichum fructicola,57.44,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph-Symbiotroph
924,Colletotrichum fructicola,57.44,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph-Symbiotroph
925,Colletotrichum gloeosporioides,57.58,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Pathotroph-Symbiotroph
926,Colletotrichum gloeosporioides,57.58,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Pathotroph-Symbiotroph
927,Colletotrichum godetiae,43.34,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
928,Colletotrichum graminicola,48.495,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Pathotroph
929,Colletotrichum higginsianum,49.89,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
930,Colletotrichum incanum,53.34,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
931,Colletotrichum kahawae,79.5,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
932,Colletotrichum karsti,51.85,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
933,Colletotrichum karsti,51.85,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
934,Colletotrichum lentis,56.1,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
935,Colletotrichum lindemuthianum,98.29,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Pathotroph
936,Colletotrichum liriopes,53.09,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
937,Colletotrichum lupini,61.08,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
938,Colletotrichum melonis,50.14,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
939,Colletotrichum musae,49.12,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Pathotroph-Symbiotroph
940,Colletotrichum musicola,52.73,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
941,Colletotrichum musicola,52.73,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
942,Colletotrichum navitas,52.44,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
943,Colletotrichum nymphaeae,50.33,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
944,Colletotrichum orbiculare,89.92,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Pathotroph-Symbiotroph
945,Colletotrichum orchidophilum,48.56,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
946,Colletotrichum paranaense,49.18,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Plant,Patotroph
947,Colletotrichum plurivorum,49.7,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
948,Colletotrichum plurivorum,49.7,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
949,Colletotrichum salicis,48.37,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
950,Colletotrichum sansevieriae,51.2,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
951,Colletotrichum scovillei,52.03,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
952,Colletotrichum shisoi,69.67,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
953,Colletotrichum siamense,57.31,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
954,Colletotrichum sidae,86.83,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
955,Colletotrichum sidae,86.83,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
956,Colletotrichum simmondsii,50.47,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
957,Colletotrichum sojae,49.35,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
958,Colletotrichum sojae,49.35,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
959,Colletotrichum sublineola,55.84,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
960,Colletotrichum tamarilloi,52.08,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
961,Colletotrichum tanaceti,57.91,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
962,Colletotrichum tanaceti,57.91,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Patotroph
963,Colletotrichum tofieldiae,52.97,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
964,Colletotrichum trifolii,109.66,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
965,Colletotrichum tropicale,55.85,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Facultative association,Symbiotroph
966,Colletotrichum truncatum,54.45,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Plant,Pathotroph-Symbiotroph
967,Colletotrichum truncatum,54.45,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Plant,Pathotroph-Symbiotroph
968,Colletotrichum viniferum,68.45,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,NA,NA
969,Colletotrichum zoysiae,46.53,Colletotrichum,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Plant,Patotroph
970,Coltricia perennis,62.11,Coltricia,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Obligate association,Symbiotroph
971,Conidiobolus coronatus,39.9,Conidiobolus,Zoopagomycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,Obligate association,Pathotroph-Saprotroph
972,Conidiobolus coronatus,39.9,Conidiobolus,Zoopagomycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,Obligate association,Pathotroph-Saprotroph
973,Conidiobolus heterosporus,29.85,Conidiobolus,Zoopagomycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,NA,NA
974,Conidiobolus incongruus,93.9,Conidiobolus,Zoopagomycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,Obligate association,Patotroph
975,Conidiobolus incongruus,93.9,Conidiobolus,Zoopagomycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,Obligate association,Patotroph
976,Conidiobolus incongruus,93.9,Conidiobolus,Zoopagomycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,Obligate association,Patotroph
977,Conidiobolus thromboides,24.64,Conidiobolus,Zoopagomycota,Entomophthoromycetes,Entomophthorales,Ancylistaceae,NA,NA
978,Coniella lustricola,36.56,Coniella,Ascomycota,Sordariomycetes,Diaporthales,Schizoparmaceae,NA,NA
979,Coniella vitis,41.54,Coniella,Ascomycota,Sordariomycetes,Diaporthales,Schizoparmaceae,Facultative association,Patotroph
980,Coniferiporia sulphurascens,39.35,Coniferiporia,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,NA,NA
981,Coniochaeta hoffmannii,30.79,Coniochaeta,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,NA,NA
982,Coniochaeta hoffmannii,30.79,Coniochaeta,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,NA,NA
983,Coniochaeta ligniaria,42.82,Coniochaeta,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,NA,NA
984,Coniochaeta prunicola,33.15,Coniochaeta,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Plant,Pathotroph
985,Coniochaeta prunicola,33.15,Coniochaeta,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Plant,Pathotroph
986,Coniochaeta pulveracea,30.02,Coniochaeta,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,NA,NA
987,Coniophora arida,32.87,Coniophora,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,NA,NA
988,Coniophora marmorata,21.97,Coniophora,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,NA,NA
989,Coniophora olivacea,35.64,Coniophora,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,NA,NA
990,Coniophora puteana,39.12,Coniophora,Basidiomycota,Agaricomycetes,Boletales,Coniophoraceae,NA,NA
991,Coniosporium apollinis,28.45,Coniosporium,Ascomycota,Eurotiomycetes,Not assigned,Not assigned,NA,NA
992,Coniothyrium glycines,34.25,Coniothyrium,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,NA,NA
993,Conocybe apala,64.08,Conocybe,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,NA,NA
994,Coprinellus angulatus,76.43,Coprinellus,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,NA,NA
995,Coprinellus micaceus,77.39,Coprinellus,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,NA,NA
996,Coprinellus pellucidus,41.56,Coprinellus,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,NA,NA
997,Coprinopsis cinerea,37.1,Coprinopsis,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,AFree living,Saprotroph
998,Coprinopsis marcescibilis,38.91,Coprinopsis,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,NA,NA
999,Coprinopsis sclerotiger,30.5,Coprinopsis,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,NA,NA
1000,Coprinopsis strossmayeri,33.32,Coprinopsis,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,NA,NA
1001,Coprinus comatus,30.63,Coprinus,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,AFree living,Saprotroph
1002,Cordyceps brongniartii,32.52,Cordyceps,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,NA,NA
1003,Cordyceps farinosa,35.13,Cordyceps,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,NA,NA
