State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Scirpus polystachyus,native,Scirpus polystachyus F.Muell.,Scirpus polystachyus,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Scleranthus biflorus,native,Scleranthus biflorus (J.R.Forst. & G.Forst.) Hook.f.,Scleranthus biflorus,native,(J.R.Forst. & G.Forst.) Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Scleranthus brockiei,native,Scleranthus brockiei P.A.Will.,Scleranthus brockiei,native,P.A.Will.,accepted,Similar for the state flora and the APC,native,native,native
Scleranthus diander,native,Scleranthus diander R.Br.,Scleranthus diander,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Scleranthus fasciculatus,native,Scleranthus fasciculatus (R.Br.) Hook.f.,Scleranthus fasciculatus,native,(R.Br.) Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Scleranthus sp. Fitz's Hill (J.G.West 5342),native,Scleranthus sp. Fitz's Hill (J.G.West 5342) Australian National Herbarium,Scleranthus sp. Fitz's Hill (J.G.West 5342),native,Australian National Herbarium,accepted,Similar for the state flora and the APC,native,native,native
Sclerochloa dura,formerly naturalised,Sclerochloa dura (L.) P.Beauv.,Sclerochloa dura,doubtfully naturalised,(L.) P.Beauv.,accepted,"According to the state flora is formerly naturalised, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Scorzonera laciniata,introduced,Scorzonera laciniata L.,Scorzonera laciniata,NA,L.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Scutellaria humilis,native,Scutellaria humilis R.Br.,Scutellaria humilis,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Sebaea ovata,native,Sebaea ovata (Labill.) R.Br.,Sebaea ovata,native,(Labill.) R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Secale cereale,doubtfully naturalised,Secale cereale L.,Secale cereale,doubtfully naturalised,L.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Securigera varia,introduced,Securigera varia (L.) Lassen,Securigera varia,naturalised,(L.) Lassen,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Sedum acre,introduced,Sedum acre L.,Sedum acre,doubtfully naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Sedum album,introduced,Sedum album L.,Sedum album,NA,L.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Sedum rupestre,doubtfully naturalised,Sedum rupestre L.,Sedum rupestre,doubtfully naturalised,L.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Selaginella kraussiana,introduced,Selaginella kraussiana (Kunze) A.Braun,Selaginella kraussiana,naturalised,(Kunze) A.Braun,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Senecio bathurstianus,native,Senecio bathurstianus (DC.) Sch.Bip.,Senecio bathurstianus,native,(DC.) Sch.Bip.,accepted,Similar for the state flora and the APC,native,native,native
Senecio campylocarpus,native,Senecio campylocarpus I.Thomps.,Senecio campylocarpus,native,I.Thomps.,accepted,Similar for the state flora and the APC,native,native,native
Senecio diaschides,native,Senecio diaschides D.G.Drury,Senecio diaschides,native,D.G.Drury,accepted,Similar for the state flora and the APC,native,native,native
Senecio distalilobatus,native,Senecio distalilobatus I.Thomps.,Senecio distalilobatus,native,I.Thomps.,accepted,Similar for the state flora and the APC,native,native,native
Senecio extensus,native,Senecio extensus I.Thomps.,Senecio extensus,native,I.Thomps.,accepted,Similar for the state flora and the APC,native,native,native
Senecio gunnii,native,Senecio gunnii (Hook.f.) Belcher,Senecio gunnii,native,(Hook.f.) Belcher,accepted,Similar for the state flora and the APC,native,native,native
Senecio hispidulus,native,Senecio hispidulus A.Rich.,Senecio hispidulus,native,A.Rich.,accepted,Similar for the state flora and the APC,native,native,native
Senecio interpositus,native,Senecio interpositus I.Thomps.,Senecio interpositus,native,I.Thomps.,accepted,Similar for the state flora and the APC,native,native,native
Senecio lageniformis,native,Senecio lageniformis I.Thomps.,Senecio lageniformis,NA,I.Thomps.,accepted,Not recorded on the APC as present in this state,native,native,native
Senecio linearifolius var. denticulatus,native,Senecio linearifolius var. denticulatus I.Thomps.,Senecio linearifolius var. denticulatus,NA,I.Thomps.,accepted,Not recorded on the APC as present in this state,native,native,native
Senecio linearifolius var. intermedius,native,Senecio linearifolius var. intermedius I.Thomps.,Senecio linearifolius var. intermedius,native,I.Thomps.,accepted,Similar for the state flora and the APC,native,native,native
Senecio linearifolius var. latifolius,native,Senecio linearifolius var. latifolius I.Thomps.,Senecio linearifolius var. latifolius,native,I.Thomps.,accepted,Similar for the state flora and the APC,native,native,native
Senecio madagascariensis,doubtfully naturalised,Senecio madagascariensis Poir.,Senecio madagascariensis,naturalised,Poir.,accepted,"According to the state flora is doubtfully naturalised, while according to the APC is naturalised",naturalised,introduced,established
Senecio minimus,native,Senecio minimus Poir.,Senecio minimus,native,Poir.,accepted,Similar for the state flora and the APC,native,native,native
Senecio nigrapicus,native,Senecio nigrapicus I.Thomps.,Senecio nigrapicus,native,I.Thomps.,accepted,Similar for the state flora and the APC,native,native,native
Senecio niveoplanus,native,Senecio niveoplanus I.Thomps.,Senecio niveoplanus,native,I.Thomps.,accepted,Similar for the state flora and the APC,native,native,native
Senecio pectinatus var. major,native,Senecio pectinatus var. major F.Muell. ex Belcher,Senecio pectinatus var. major,native,F.Muell. ex Belcher,accepted,Similar for the state flora and the APC,native,native,native
Senecio phelleus,native,Senecio phelleus I.Thomps.,Senecio phelleus,native,I.Thomps.,accepted,Similar for the state flora and the APC,native,native,native
Senecio pinnatifolius var. alpinus,native,Senecio pinnatifolius var. alpinus (Ali) I.Thomps.,Senecio pinnatifolius var. alpinus,native,(Ali) I.Thomps.,accepted,Similar for the state flora and the APC,native,native,native
Senecio prenanthoides,native,Senecio prenanthoides A.Rich.,Senecio prenanthoides,native,A.Rich.,accepted,Similar for the state flora and the APC,native,native,native
Senecio prenanthoides x Senecio confertiramosus,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Senecio pterophorus,formerly naturalised,Senecio pterophorus DC.,Senecio pterophorus,NA,DC.,accepted,Not recorded on the APC as present in this state,formerly naturalised,introduced,not enough information to assign degree of establishment
Senecio quadridentatus,native,Senecio quadridentatus Labill.,Senecio quadridentatus,native,Labill.,accepted,Similar for the state flora and the APC,native,native,native
Senecio velleioides,native,Senecio velleioides A.Cunn. ex DC.,Senecio velleioides,NA,A.Cunn. ex DC.,accepted,Not recorded on the APC as present in this state,native,native,native
Senecio vulgaris,formerly naturalised,Senecio vulgaris L.,Senecio vulgaris,naturalised,L.,accepted,"According to the state flora is formerly naturalised, while according to the APC is naturalised",naturalised,introduced,established
Senna aciphylla,native colonising,Senna aciphylla (Benth. ex A.Gray) Randell,Senna aciphylla,native,(Benth. ex A.Gray) Randell,accepted,"According to the state flora is native colonising, while according to the APC is native",native colonising,native,native
Setaria italica,introduced,Setaria italica (L.) P.Beauv.,Setaria italica,naturalised,(L.) P.Beauv.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Setaria parviflora,introduced,Setaria parviflora (Poir.) Kerguelen,Setaria parviflora,naturalised,(Poir.) Kerguelen,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Setaria pumila subsp. pumila,introduced,Setaria pumila (Poir.) Roem. & Schult. subsp. pumila,Setaria pumila subsp. pumila,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Setaria verticillata,introduced,Setaria verticillata (L.) P.Beauv.,Setaria verticillata,naturalised,(L.) P.Beauv.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Setaria viridis,introduced,Setaria viridis (L.) P.Beauv.,Setaria viridis,naturalised,(L.) P.Beauv.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Sherardia arvensis,introduced,Sherardia arvensis L.,Sherardia arvensis,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Sida corrugata,native,Sida corrugata Lindl.,Sida corrugata,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
Sigesbeckia australiensis,native,Sigesbeckia australiensis D.L.Schulz,Sigesbeckia australiensis,native,D.L.Schulz,accepted,Similar for the state flora and the APC,native,native,native
Silene coronaria,introduced,Silene coronaria (L.) Clairv.,Silene coronaria,naturalised,(L.) Clairv.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Silene gallica var. gallica,introduced,Silene gallica L. var. gallica,Silene gallica var. gallica,naturalised,NA,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Silene gallica var. quinquevulnera,introduced,Silene gallica var. quinquevulnera (L.) W.D.J.Koch,Silene gallica var. quinquevulnera,naturalised,(L.) W.D.J.Koch,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Silene latifolia,formerly naturalised,Silene latifolia Poir.,Silene latifolia,formerly naturalised,Poir.,accepted,Similar for the state flora and the APC,formerly naturalised,introduced,not enough information to assign degree of establishment
Silene vulgaris subsp. angustifolia,formerly naturalised,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,formerly naturalised,introduced,not enough information to assign degree of establishment
Silene vulgaris subsp. vulgaris,doubtfully naturalised,Silene vulgaris (Moench) Garcke subsp. vulgaris,Silene vulgaris subsp. vulgaris,doubtfully naturalised,NA,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Silybum marianum,introduced,Silybum marianum (L.) Gaertn.,Silybum marianum,naturalised,(L.) Gaertn.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Sisymbrium irio,introduced,Sisymbrium irio L.,Sisymbrium irio,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Sisymbrium officinale,introduced,Sisymbrium officinale (L.) Scop.,Sisymbrium officinale,naturalised,(L.) Scop.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Sisymbrium orientale,introduced,Sisymbrium orientale L.,Sisymbrium orientale,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Sisyrinchium iridifolium,doubtfully naturalised,Sisyrinchium micranthum Cav.,Sisyrinchium micranthum,NA,Cav.,taxonomic synonym,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Sisyrinchium rosulatum,introduced,Sisyrinchium rosulatum E.P.Bicknell,Sisyrinchium rosulatum,naturalised,E.P.Bicknell,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Solanum chenopodioides,introduced,Solanum chenopodioides Lam.,Solanum chenopodioides,naturalised,Lam.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Solanum cinereum,native,Solanum cinereum R.Br.,Solanum cinereum,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Solanum linearifolium,native,Solanum linearifolium Geras. ex Symon,Solanum linearifolium,native,Geras. ex Symon,accepted,Similar for the state flora and the APC,native,native,native
Solanum lycopersicum,doubtfully naturalised,Solanum lycopersicum L.,Solanum lycopersicum,doubtfully naturalised,L.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Solanum mauritianum,doubtfully naturalised,Solanum mauritianum Scop.,Solanum mauritianum,NA,Scop.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Solanum nigrum,introduced,Solanum nigrum L.,Solanum nigrum,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Solanum physalifolium var. nitidibaccatum,doubtfully naturalised,Solanum styleanum Dunal,Solanum styleanum,doubtfully naturalised,Dunal,taxonomic synonym,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Solanum pseudocapsicum,introduced,Solanum pseudocapsicum L.,Solanum pseudocapsicum,NA,L.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Solanum rostratum,formerly naturalised,Solanum rostratum Dunal,Solanum rostratum,doubtfully naturalised,Dunal,accepted,"According to the state flora is formerly naturalised, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Solanum sisymbriifolium,doubtfully naturalised,Solanum sisymbriifolium Lam.,Solanum sisymbriifolium,naturalised,Lam.,accepted,"According to the state flora is doubtfully naturalised, while according to the APC is naturalised",naturalised,introduced,established
Solanum triflorum,introduced,Solanum triflorum Nutt.,Solanum triflorum,naturalised,Nutt.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Solanum tuberosum,doubtfully naturalised,Solanum tuberosum L.,Solanum tuberosum,doubtfully naturalised,L.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Solanum vescum,native,Solanum vescum F.Muell.,Solanum vescum,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Solenogyne dominii,native,Solenogyne dominii L.G.Adams,Solenogyne dominii,native,L.G.Adams,accepted,Similar for the state flora and the APC,native,native,native
Solenogyne gunnii,native,Solenogyne gunnii (Hook.f.) Cabrera,Solenogyne gunnii,native,(Hook.f.) Cabrera,accepted,Similar for the state flora and the APC,native,native,native
Soliva sessilis,introduced,Soliva sessilis Ruiz & Pav.,Soliva sessilis,naturalised,Ruiz & Pav.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Sonchus asper,introduced,Sonchus asper (L.) Hill,Sonchus asper,naturalised,(L.) Hill,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Sonchus hydrophilus,native,Sonchus hydrophilus Boulos,Sonchus hydrophilus,native,Boulos,accepted,Similar for the state flora and the APC,native,native,native
Sonchus oleraceus,introduced,Sonchus oleraceus L.,Sonchus oleraceus,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Sorbus domestica,introduced,Sorbus domestica L.,Sorbus domestica,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Sorghum arundinaceum,doubtfully naturalised,Sorghum arundinaceum (Desv.) Stapf,Sorghum arundinaceum,doubtfully naturalised,(Desv.) Stapf,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Sorghum bicolor,doubtfully naturalised,Sorghum bicolor (L.) Moench,Sorghum bicolor,doubtfully naturalised,(L.) Moench,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Sorghum halepense,introduced,Sorghum halepense (L.) Pers.,Sorghum halepense,naturalised,(L.) Pers.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Sorghum leiocladum,native,Sorghum leiocladum (Hack.) C.E.Hubb.,Sorghum leiocladum,native,(Hack.) C.E.Hubb.,accepted,Similar for the state flora and the APC,native,native,native
Sparaxis ?pillansii x Sparaxis tricolor,introduced,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,introduced,introduced,not enough information to assign degree of establishment
Sparaxis tricolor,introduced,Sparaxis tricolor (Schneev.) Ker Gawl.,Sparaxis tricolor,NA,(Schneev.) Ker Gawl.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Sparganium subglobosum,native,Sparganium subglobosum Morong,Sparganium subglobosum,native,Morong,accepted,Similar for the state flora and the APC,native,native,native
Spartium junceum,formerly naturalised,Spartium junceum L.,Spartium junceum,NA,L.,accepted,Not recorded on the APC as present in this state,formerly naturalised,introduced,not enough information to assign degree of establishment
Speculantha multiflora,native,Pterostylis multiflora (D.L.Jones) G.N.Backh.,Pterostylis multiflora,native,(D.L.Jones) G.N.Backh.,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Speculantha rubescens,native,Pterostylis rubescens (D.L.Jones) G.N.Backh.,Pterostylis rubescens,native,(D.L.Jones) G.N.Backh.,nomenclatural synonym,Similar for the state flora and the APC,native,native,native
Spergularia bocconei,introduced,Spergularia bocconei (Scheele) Graebn.,Spergularia bocconei,NA,(Scheele) Graebn.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Spergularia rubra,introduced,Spergularia rubra (L.) J.Presl & C.Presl,Spergularia rubra,naturalised,(L.) J.Presl & C.Presl,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Sphaerolobium minus,native,Sphaerolobium minus Labill.,Sphaerolobium minus,native,Labill.,accepted,Similar for the state flora and the APC,native,native,native
Spiranthes alticola,native,Spiranthes australis (R.Br.) Lindl.,Spiranthes australis,native,(R.Br.) Lindl.,taxonomic synonym,Similar for the state flora and the APC,native,native,native
Sporobolus africanus,introduced,Sporobolus africanus (Poir.) Robyns & Tournay,Sporobolus africanus,doubtfully naturalised,(Poir.) Robyns & Tournay,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Sporobolus creber,native,Sporobolus creber De Nardi,Sporobolus creber,native,De Nardi,accepted,Similar for the state flora and the APC,native,native,native
Sporobolus elongatus,native,Sporobolus elongatus R.Br.,Sporobolus elongatus,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Spyridium parvifolium,native,Spyridium parvifolium (Hook.) F.Muell.,Spyridium parvifolium,native,(Hook.) F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Stackhousia monogyna,native,Stackhousia monogyna Labill.,Stackhousia monogyna,native,Labill.,accepted,Similar for the state flora and the APC,native,native,native
Stackhousia viminea,native,Stackhousia viminea Sm.,Stackhousia viminea,native,Sm.,accepted,Similar for the state flora and the APC,native,native,native
Stellaria angustifolia subsp. angustifolia,native,Stellaria angustifolia Hook. subsp. angustifolia,Stellaria angustifolia subsp. angustifolia,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Stellaria angustifolia subsp. tenella,native,Stellaria angustifolia subsp. tenella (Benth.) C.H.Mill. & J.G.West,Stellaria angustifolia subsp. tenella,NA,(Benth.) C.H.Mill. & J.G.West,accepted,Not recorded on the APC as present in this state,native,native,native
Stellaria media,introduced,Stellaria media (L.) Vill.,Stellaria media,naturalised,(L.) Vill.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Stellaria multiflora subsp. collaris,native,Stellaria multiflora subsp. collaris C.H.Mill. & J.G.West,Stellaria multiflora subsp. collaris,NA,C.H.Mill. & J.G.West,accepted,Not recorded on the APC as present in this state,native,native,native
Stellaria multiflora subsp. multiflora,native,Stellaria multiflora Hook. subsp. multiflora,Stellaria multiflora subsp. multiflora,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Stellaria multiflora subsp. nebulosa,native,Stellaria multiflora subsp. nebulosa C.H.Mill. & J.G.West,Stellaria multiflora subsp. nebulosa,NA,C.H.Mill. & J.G.West,accepted,Not recorded on the APC as present in this state,native,native,native
Stellaria pallida,formerly naturalised,Stellaria pallida (Dumort.) Crep.,Stellaria pallida,formerly naturalised,(Dumort.) Crep.,accepted,Similar for the state flora and the APC,formerly naturalised,introduced,not enough information to assign degree of establishment
Stellaria pungens,native,Stellaria pungens Brongn.,Stellaria pungens,native,Brongn.,accepted,Similar for the state flora and the APC,native,native,native
Stuartina hamata,native,Stuartina hamata Philipson,Stuartina hamata,native,Philipson,accepted,Similar for the state flora and the APC,native,native,native
Stuartina muelleri,native,Stuartina muelleri Sond.,Stuartina muelleri,native,Sond.,accepted,Similar for the state flora and the APC,native,native,native
Stylidium armeria subsp. armeria,native,Stylidium armeria (Labill.) Labill. subsp. armeria,Stylidium armeria subsp. armeria,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Stylidium despectum,native,Stylidium despectum R.Br.,Stylidium despectum,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Stylidium graminifolium,native,Stylidium graminifolium Sw.,Stylidium graminifolium,native,Sw.,accepted,Similar for the state flora and the APC,native,native,native
Stylidium montanum,native,Stylidium montanum Raulings & Ladiges,Stylidium montanum,native,Raulings & Ladiges,accepted,Similar for the state flora and the APC,native,native,native
Stypandra glauca,native,Stypandra glauca R.Br.,Stypandra glauca,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Styphelia triflora,native,Styphelia triflora Andrews,Styphelia triflora,native,Andrews,accepted,Similar for the state flora and the APC,native,native,native
Swainsona behriana,native,Swainsona behriana F.Muell. ex J.M.Black,Swainsona behriana,native,F.Muell. ex J.M.Black,accepted,Similar for the state flora and the APC,native,native,native
Swainsona monticola,native,Swainsona monticola A.Cunn. ex Benth.,Swainsona monticola,native,A.Cunn. ex Benth.,accepted,Similar for the state flora and the APC,native,native,native
Swainsona recta,native,Swainsona recta A.T.Lee,Swainsona recta,native,A.T.Lee,accepted,Similar for the state flora and the APC,native,native,native
Swainsona sericea,native,Swainsona sericea (A.T.Lee) J.M.Black ex H.Eichler,Swainsona sericea,native,(A.T.Lee) J.M.Black ex H.Eichler,accepted,Similar for the state flora and the APC,native,native,native
Symphyotrichum novi-belgii,introduced,Symphyotrichum novi-belgii (L.) G.L.Nesom,Symphyotrichum novi-belgii,naturalised,(L.) G.L.Nesom,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Symphyotrichum subulatum,introduced,Symphyotrichum subulatum (Michx.) G.L.Nesom,Symphyotrichum subulatum,naturalised,(Michx.) G.L.Nesom,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Symphytum officinale subsp. officinale,doubtfully naturalised,Symphytum officinale subsp. officinale,Symphytum officinale subsp. officinale,naturalised,NA,accepted,"According to the state flora is doubtfully naturalised, while according to the APC is naturalised",naturalised,introduced,established
Tagetes minuta,doubtfully naturalised,Tagetes minuta L.,Tagetes minuta,doubtfully naturalised,L.,accepted,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Tagetes patula,doubtfully naturalised,Tagetes erecta L.,Tagetes erecta,doubtfully naturalised,L.,taxonomic synonym,Similar for the state flora and the APC,doubtfully naturalised,introduced,established
Tanacetum vulgare,introduced,Tanacetum vulgare L.,Tanacetum vulgare,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Taraxacum aristum,native,Taraxacum aristum G.E.Haglund & Markl.,Taraxacum aristum,native,G.E.Haglund & Markl.,accepted,Similar for the state flora and the APC,native,native,native
Taraxacum sarcidanum,formerly naturalised,Taraxacum sarcidanum Arrigoni,Taraxacum sarcidanum,NA,Arrigoni,accepted,Not recorded on the APC as present in this state,formerly naturalised,introduced,not enough information to assign degree of establishment
Taraxacum sect. Hamata,introduced,Taraxacum sect. Hamata H.Øllg.,NA,NA,NA,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Taraxacum sect. Taraxacum,introduced,Taraxacum F.H.Wigg. sect. Taraxacum,NA,NA,NA,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Taraxacum subbracteatum,formerly naturalised,Taraxacum subbracteatum A.J.Richards,Taraxacum subbracteatum,naturalised,A.J.Richards,accepted,"According to the state flora is formerly naturalised, while according to the APC is naturalised",naturalised,introduced,established
Tasmannia lanceolata,native,Tasmannia lanceolata (Poir.) A.C.Sm.,Tasmannia lanceolata,native,(Poir.) A.C.Sm.,accepted,Similar for the state flora and the APC,native,native,native
Tasmannia xerophila subsp. xerophila,native,Tasmannia xerophila M.Gray subsp. xerophila,Tasmannia xerophila subsp. xerophila,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Taxodium distichum,doubtfully naturalised,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,doubtfully naturalised,introduced,established
Tetrarrhena turfosa,native,Tetrarrhena turfosa N.G.Walsh,Tetrarrhena turfosa,native,N.G.Walsh,accepted,Similar for the state flora and the APC,native,native,native
Tetratheca bauerifolia,native,Tetratheca bauerifolia F.Muell. ex Schuch.,Tetratheca bauerifolia,native,F.Muell. ex Schuch.,accepted,Similar for the state flora and the APC,native,native,native
Tetratheca labillardierei,native,Tetratheca labillardierei Joy Thomps.,Tetratheca labillardierei,native,Joy Thomps.,accepted,Similar for the state flora and the APC,native,native,native
Teucrium corymbosum,native,Teucrium corymbosum R.Br.,Teucrium corymbosum,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Thelionema caespitosum,native,Thelionema caespitosum (R.Br.) R.J.F.Hend.,Thelionema caespitosum,native,(R.Br.) R.J.F.Hend.,accepted,Similar for the state flora and the APC,native,native,native
Thelymitra alpina,native,Thelymitra alpina Jeanes,Thelymitra alpina,native,Jeanes,accepted,Similar for the state flora and the APC,native,native,native
Thelymitra arenaria,native,Thelymitra arenaria Lindl.,Thelymitra arenaria,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
Thelymitra brevifolia,native,Thelymitra brevifolia Jeanes,Thelymitra brevifolia,native,Jeanes,accepted,Similar for the state flora and the APC,native,native,native
Thelymitra carnea,native,Thelymitra carnea R.Br.,Thelymitra carnea,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Thelymitra cyanea,native,Thelymitra cyanea (Lindl.) Benth.,Thelymitra cyanea,native,(Lindl.) Benth.,accepted,Similar for the state flora and the APC,native,native,native
Thelymitra juncifolia,native,Thelymitra juncifolia Lindl.,Thelymitra juncifolia,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
Thelymitra megcalyptra,native,Thelymitra megcalyptra Fitzg.,Thelymitra megcalyptra,native,Fitzg.,accepted,Similar for the state flora and the APC,native,native,native
Thelymitra nuda,native,Thelymitra nuda R.Br.,Thelymitra nuda,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Thelymitra pauciflora,native,Thelymitra pauciflora R.Br.,Thelymitra pauciflora,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Thelymitra peniculata,native,Thelymitra peniculata Jeanes,Thelymitra peniculata,native,Jeanes,accepted,Similar for the state flora and the APC,native,native,native
Thelymitra rubra,native,Thelymitra rubra Fitzg.,Thelymitra rubra,native,Fitzg.,accepted,Similar for the state flora and the APC,native,native,native
Thelymitra simulata,native,Thelymitra simulata D.L.Jones & M.A.Clem.,Thelymitra simulata,native,D.L.Jones & M.A.Clem.,accepted,Similar for the state flora and the APC,native,native,native
Thelymitra sp. Gibraltar Falls (M.A.Clements 4701),native,Thelymitra sp. Gibraltar Falls (M.A.Clements 4701) Australian National Herbarium,Thelymitra sp. Gibraltar Falls (M.A.Clements 4701),native,Australian National Herbarium,accepted,Similar for the state flora and the APC,native,native,native
Thelymitra x truncata,native,Thelymitra x truncata R.S.Rogers,Thelymitra x truncata,native,R.S.Rogers,accepted,Similar for the state flora and the APC,native,native,native
Themeda triandra,native,Themeda triandra Forssk.,Themeda triandra,native,Forssk.,accepted,Similar for the state flora and the APC,native,native,native
Thesium australe,native,Thesium australe R.Br.,Thesium australe,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Thomasia petalocalyx,doubtfully naturalised,Thomasia petalocalyx F.Muell.,Thomasia petalocalyx,NA,F.Muell.,accepted,Not recorded on the APC as present in this state,doubtfully naturalised,introduced,established
Thynninorchis huntianus,native,Thynninorchis huntiana (F.Muell.) D.L.Jones & M.A.Clem.,Thynninorchis huntiana,native,(F.Muell.) D.L.Jones & M.A.Clem.,orthographic variant,Similar for the state flora and the APC,native,native,native
Thysanotus patersonii,native,Thysanotus patersonii R.Br.,Thysanotus patersonii,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
